liquor_name,liquor_name_kor,classification_id,alcohol,price,rating,description,,image_path,vendor
Mudshake,머드쉐이크,4,5,3500,0,"Versatile and ready-to-drink, Vodka Mudshake is like an “adult” milkshake in a pre-mixed vodka beverage available in a delicious array of indulgent flavours.",,c25be72e-2825-49ac-be56-8efbea550f27.jpg,
Limoncello,리몬첼로,6,30,38000,0,"Limoncello is an Italian lemon liqueur made with lemon zest, sugar, and neutral alcohol (usually vodka). It's the second most popular liqueur in Italy after Campari.",,57abbb98-9507-4f7c-afbc-884b13e92443.jpg,
Campari,캄파리,6,25,31000,0,"Every year, Campari sells 2.9 million cases in more than 190 countries. The spirit is flavored with a secret combination of herbs, spices and fruit peels.",,58d13f69-69c2-4e6f-8529-a4dfef45ed70.jpg,
Jose Cuervo,호세쿠엘보,5,40,37500,2.5,"가장 대중적인 데킬라 브랜드. 스트레이트로도 많이 마시며 레몬,라임 + 소금과 같이먹는다",,c6855dae-ef88-470e-891d-15b704b9f020.jpg,
Barcardi Carta Blanca,바카디 카르타 블랑카,2,40,25000,3.5,가장 기본적인 화이트럼이라 칵테일에 많이 사용됨 달콤한 향과 특유의 맛이 있다.,,3a4a3f48-d4f1-49e2-aef0-72e73915e596.jpg,https://www.premiumdrinks.ro/vin-rou/855-crama-ferdi-red-king-rezerva-2018.html?utm_medium=pref-cpc&utm_source=vivino-ppc
Gilbeys Vodka,길비스 보드카,4,40,7000,0,"One of the best selling vodkas in the U.S., this should be a liquor cabinet staple. It does what vodka does best-quietly, without much aroma or fanfare, you can mix the kind of cocktail that will knock socks off. Try it in classics like a Cosmopolitan, Long Island Ice Tea, Screwdriver or Bloody Mary.",,4eddca8c-cbfe-48dc-9d50-22ec6da7def2.jpg,
Smirnoff,스미노프,4,40,18500,5,보드카 매출 세계 1위.,,c4217534-5114-4b83-9518-4eab65c55415.jpg,
Blue Curacao,블루 큐라소,6,20,20000,4,오렌지 껍질술인 트리플 섹에 파란 색소를 첨가하여 만든 리큐르. 오렌지 향에 강한 단맛.,,0bbc5579-ede9-4c4e-b4d5-a9fb97bf1eb3.jpg,
Jack Daniel’s,잭 다니엘,3,40,35000,4,테네시 위스키. 목넘김이 거칠어서 잭콕이라는 칵테일의 형태로 많이 소비됨.,,3c3d1fce-4a0e-4581-b27e-e089927cd4c3.jpg,https://www.premiumdrinks.ro/vin-rou/855-crama-ferdi-red-king-rezerva-2018.html?utm_medium=pref-cpc&utm_source=vivino-ppc
Peach Tree,피치 트리,6,20,25000,1.5,디카이퍼 사의 복숭아 슈냅스. 단 맛이 강하다.,,850ee328-77eb-4356-9c3a-895efdbcca4f.jpg,
Vermouth,베르무트,7,17,17500,1,"vermouth is the all-too-often unsung hero of the cocktail world, having been relegated to “best supporting actor” status for years. Despite beloved classic drinks, from the Martini to the Negroni, being nowhere without vermouth’s herbal well-rounded depth, only recently has the aperitif started to see a resurgence in individualized popularity. It’s time for vermouth to step off the dusty back bar and into the spotlight.",,af6895d0-d072-48ea-9597-5c96c07fa554.jpg,
Kahlúa,깔루아,6,16,25000,3.5,커피향과 달콤한 맛 원액을 그대로 마시면 술 맛이 거의 안남,,6c897836-379a-4a1c-b797-4b2a32d3a3f3.jpg,
Tanqueray,탱커레이,1,43.1,28480,0,"Tanqueray, according to company legend, was Frank Sinatra’s favorite gin. In 2000, the brand released the first super-premium gin: Tanqueray No. Ten. The spirit is flavored with juniper as well as fresh oranges, limes and grapefruits.",,e4f5a1a6-287d-4c2c-add4-9157dc167c75.jpg,
Baileys,베일리스,6,17,35000,0,"Baileys only uses milk from Irish cows and a lot of it. The brand goes through 72.6 million gallons of milk a year. The liqueur is so popular that people around the world drink 2,300 glasses of it every minute of every day. Love Baileys? Try it in cheesecake, ice cream, pie and muffins. There are recipes on the brand’s website.",,e1d8e55b-a3e5-461a-93de-ad0131e187dd.jpg,
Malibu Rum,말리부 럼,2,21,26000,0,"Nothing beats an original. But Malibu isn't just an original, it's sunshine in a bottle with a smooth fresh flavor. That's why it's the world's best-selling coconut flavored Caribbean rum.",,87e83cfa-69e1-470e-98c2-04b6f1c2dbe1.jpg,
818 Tequila,818 테킬라,5,40,62000,0,"Hand-picked by jimadores; cooked in traditional brick ovens; aged in oak barrels; and brought to you and your family straight from ours. We value every step of our process and respect those who make it possible, all while fulfilling our commitment to the earth. Ultimately, we are left with our award-winning 818, some of the smoothest and most enjoyable tequila in the world.",,8ca0f3d9-d500-4941-bdd1-7cfd457574a6.jpg,
Bombay Sapphire,봄베이 사파이어,1,47,35000,2,특이하게 파란색이다. 쥬니퍼 베리를 기반으로 각종 향이 더 첨가되어 다른 진에 비해 더욱 강하고 특이한 향을 보여준다.,,a42a3486-5e6c-4247-adc9-0b84af5d0823.jpg,https://www.premiumdrinks.ro/vin-rou/855-crama-ferdi-red-king-rezerva-2018.html?utm_medium=pref-cpc&utm_source=vivino-ppc
Gordon’s Gin,고든스 진,1,43,20000,0,쥬니퍼 베리의 솔향이 느껴지는 정통 스타일 진.,,e36d4981-ae78-4e34-8cf4-ebdea4c31645.jpg,https://www.premiumdrinks.ro/vin-rou/855-crama-ferdi-red-king-rezerva-2018.html?utm_medium=pref-cpc&utm_source=vivino-ppc
Johnnie Walker,조니 워커,3,40,35000,4.5,블렌디드 위스키. 조니워커 특유의 훈연향이 있음,,0ebd23b1-864d-416b-aa7d-e3f3d3f07fea.jpg,https://www.premiumdrinks.ro/vin-rou/855-crama-ferdi-red-king-rezerva-2018.html?utm_medium=pref-cpc&utm_source=vivino-ppc
Amaretto,아마레또,6,28,30000,4.5,살구씨로 만든 리큐르이며 아몬드 향이 난다,,501fd673-8e25-455b-abef-c5609d24c1a9.jpg,
